"","summary(df_to_export).path_length_microns","summary(df_to_export).neurite_number","summary(df_to_export).path_length_sum","summary(df_to_export).neurite_per_sum","summary(df_to_export).morphological_long_axon_present","summary(df_to_export).morphological_short_axon_present","summary(df_to_export).    date","summary(df_to_export).    cell","summary(df_to_export). condition","summary(df_to_export). timepoint","date","cell","condition","timepoint"
"1",Min.   :  0.400  ,Min.   : 1.00  ,Min.   : 15.9  ,Min.   :0.004457  ,Mode :logical  ,Mode :logical  ,Length:152        ,Length:152        ,Length:152        ,Length:152        ,"plated_03-20-23","NA","E254A","1"
"2",1st Qu.:  2.034  ,1st Qu.: 3.00  ,1st Qu.:109.3  ,1st Qu.:0.012719  ,FALSE:147      ,FALSE:142      ,Class :character  ,Class :character  ,Class :character  ,Class :character  ,"plated_03-20-23","NA","E254A","1"
"3",Median :  4.107  ,Median : 7.00  ,Median :168.6  ,Median :0.033893  ,TRUE :5        ,TRUE :10       ,Mode  :character  ,Mode  :character  ,Mode  :character  ,Mode  :character  ,"plated_03-20-23","NA","E254A","1"
"4",Mean   : 11.258  ,Mean   :10.75  ,Mean   :156.4  ,Mean   :0.098684  ,NA,NA,NA,NA,NA,NA,"plated_03-20-23","NA","E254A","1"
"5",3rd Qu.: 12.223  ,3rd Qu.:14.00  ,3rd Qu.:204.3  ,3rd Qu.:0.107687  ,NA,NA,NA,NA,NA,NA,"plated_03-20-23","NA","E254A","1"
"6",Max.   :102.351  ,Max.   :44.00  ,Max.   :223.5  ,Max.   :0.870840  ,NA,NA,NA,NA,NA,NA,"plated_03-20-23","NA","E254A","1"
