 ,Label,Area,Mean,Min,Max,Perim.,Median,Ch
1,MAX_WT_001.tif:wt 001 whole-cell:1,164.089,1799.506,222,10091,196.707,1084,1
2,MAX_WT_001.tif:n1:1,94.364,1965.816,222,10091,153.436,1299,1
3,MAX_WT_001.tif:n2:1,7.129,485.636,244,1104,14.187,442,1
4,MAX_WT_001.tif:n3:1,3.804,441.570,273,838,10.897,424,1
5,MAX_WT_001.tif:soma:1,53.316,1890.441,363,8430,26.721,1264,1
6,MAX_WT_001.tif:wt 001 whole-cell:2,164.089,4511.756,208,24817,196.707,3126,2
7,MAX_WT_001.tif:n1:2,94.364,3616.930,208,23823,153.436,1853,2
8,MAX_WT_001.tif:n2:2,7.129,1005.830,310,2764,14.187,886,2
9,MAX_WT_001.tif:n3:2,3.804,1299.621,361,3572,10.897,1118,2
10,MAX_WT_001.tif:soma:2,53.316,7106.391,890,24817,26.721,5784,2
11,MAX_WT_001.tif:wt 001 whole-cell:3,164.089,2862.697,205,10499,196.707,1251,3
12,MAX_WT_001.tif:n1:3,94.364,1069.755,205,6471,153.436,861,3
13,MAX_WT_001.tif:n2:3,7.129,873.893,294,2471,14.187,750,3
14,MAX_WT_001.tif:n3:3,3.804,998.164,303,2237,10.897,925,3
15,MAX_WT_001.tif:soma:3,53.316,6621.079,506,10499,26.721,7444,3
16,MAX_WT_001.tif:wt 001 whole-cell:4,164.089,1000.846,188,5127,196.707,358,4
17,MAX_WT_001.tif:n1:4,94.364,346.418,188,2045,153.436,306,4
18,MAX_WT_001.tif:n2:4,7.129,332.257,202,716,14.187,321,4
19,MAX_WT_001.tif:n3:4,3.804,318.136,218,544,10.897,312,4
20,MAX_WT_001.tif:soma:4,53.316,2358.202,240,5127,26.721,2791,4
