\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],No. of branch points [Single value],No. of paths [Single value],No. of primary branches [Single value],SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
Path (1),null,null,null,null,null,null,null,null,null,Undefined,31.06369406
Path (2),null,null,null,null,null,null,null,null,null,Undefined,15.55587301
Path (3),null,null,null,null,null,null,null,null,null,Undefined,2.708494467
Path (4),null,null,null,null,null,null,null,null,null,Undefined,5.9045695
Path (5),null,null,null,null,null,null,null,null,null,Undefined,12.21306397
Path (6),null,null,null,null,null,null,null,null,null,Undefined,11.85489177
Path (7),null,null,null,null,null,null,null,null,null,Undefined,19.39181336
Path (8),null,null,null,null,null,null,null,null,null,Undefined,1.8209139
Path (9),null,null,null,null,null,null,null,null,null,Undefined,27.09442037
Path (10),null,null,null,null,null,null,null,null,null,Undefined,30.93428569
Path (11),null,null,null,null,null,null,null,null,null,Undefined,5.449341025
Path (12),null,null,null,null,null,null,null,null,null,Undefined,19.5882251
Path (13),null,null,null,null,null,null,null,null,null,Undefined,5.1045695
Path (14),null,null,null,null,null,null,null,null,null,Undefined,18.63756612
Path (15),null,null,null,null,null,null,null,null,null,Undefined,6.786599325
Path (16),null,null,null,null,null,null,null,null,null,Undefined,20.40325155
Path (17),null,null,null,null,null,null,null,null,null,Undefined,8.148359783
Path (18),null,null,null,null,null,null,null,null,null,Undefined,7.371236166
Path (19),null,null,null,null,null,null,null,null,null,Undefined,21.2300529
Path (20),null,null,null,null,null,null,null,null,null,Undefined,4.695093791
Root centroid,null,null,null,null,null,null,null,null,null,Undefined,0
